Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18,Day 19,Day 20,Subiu?
4610000133514400.0,4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,Sim
4485000133514400.0,4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",Não
4150000095367430.0,3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,Sim
3849999904632560.0,3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,Sim
3694999933242790.0,"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",Não
"3,10E+30","3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,Sim
"3,14E+30","3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,Não
"3,35E+30",3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,Sim
3700000047683710.0,3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",Não
3805000066757200.0,3799999952316280.0,"3,90E+30",4.0,3900000095367430.0,3910000085830680.0,3755000114440910.0,3700000047683710.0,3619999885559080.0,3549999952316280.0,3180000066757200.0,"3,10E+30",3025000095367430.0,3049999952316280.0,"3,09E+30",2924999952316280.0,2994999885559080.0,2930000066757200.0,"3,03E+30",2950000047683710.0,Não
